pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_imppar,st_teff,st_rad,st_mass,st_lum,st_logg,releasedate
0,326.03000000,1.290000,,,,0.231000,,,,4742.00,19.00,2.70,2.243,2.31,2014-05-14
0,,1.210000,,,,,,,,,,2.60,,,2014-07-23
0,516.22000000,1.540000,,,,0.080000,,,,4340.00,24.08,1.80,,1.60,2014-05-14
0,,1.510000,,,,,,,,,,1.70,,,2014-07-23
0,516.21997000,1.530000,,,,0.080000,,,,4213.00,29.79,2.78,,1.93,2018-09-06
0,185.84000000,0.830000,,,,0.000000,,,,4813.00,11.00,2.20,1.763,2.63,2014-05-14
0,,0.680000,,,,,,,,,,1.20,,,2014-07-23
0,1796.40000000,2.800000,,,,0.338000,,,,5255.00,,0.90,-0.150,4.40,2014-08-21
0,1766.41000000,2.830000,,,,0.367400,,,,5314.94,1.00,0.97,,4.43,2021-09-20
0,1766.00000000,2.864000,,,,0.359000,,,,5280.00,1.00,0.91,-0.153,4.40,2014-08-21
0,1773.40002000,2.930000,,,,0.370000,,,,5338.00,0.93,0.90,,4.45,2018-09-06
0,,2.730000,,,,0.357000,,,,,,0.90,,,2014-08-21
0,1765.03890112,2.773069,,2586.74645,,0.372689,,,,,,0.91,,,2022-09-19
0,1724.00000000,2.820000,,,,0.370000,,,,,,1.00,,,2014-08-21
0,1773.40000000,2.770000,,,,0.369000,,,,,,,,,2014-05-14
0,798.50000000,1.660000,,,,0.680000,,,,5750.00,1.13,1.08,,4.36,2018-09-06
0,799.45000000,1.676000,,,,0.683200,,,,5711.97,1.16,0.98,,4.30,2021-09-20
0,798.50000000,1.681000,,,,0.681000,,,,5674.00,,0.99,,4.36,2015-09-10
0,800.80000000,1.600000,,,,0.634000,,,,5760.00,,1.00,,4.35,2014-08-21
0,799.50000000,1.680000,,,,0.689000,,,,5747.00,1.13,1.03,0.097,4.35,2014-09-18
0,799.50000000,1.680000,,,,0.689000,,,,,,,,,2014-09-18
0,578.38000000,1.450000,,,,0.060000,,,,4157.00,25.92,1.22,2.254,1.70,2021-10-25
0,993.30000000,2.600000,,,,0.080000,,,,4979.00,8.50,2.30,1.602,2.82,2014-05-14
0,,2.540000,,,,,,,,,,2.10,,,2014-07-23
0,,330.000000,18.647,2543.00000,,,,1800,,4060.00,1.35,0.85,,,2014-05-14
0,,330.000000,,4000.00000,,,,1700,,4060.00,,0.85,-0.370,,2015-04-01
0,,330.000000,,3000.00000,,,,1700,,4060.00,,0.85,-0.370,,2015-04-01
0,,330.000000,,3000.00000,,,,1800,,3993.00,1.31,0.62,-0.403,4.00,2015-04-01
0,30.35060000,0.190000,,,,0.042000,,,,4893.00,10.64,0.99,1.774,2.42,2018-04-26
0,452.80000000,1.333000,,,,0.090000,,,,5098.00,4.90,1.54,1.164,3.50,2014-05-14
0,883.00000000,2.080000,,,,0.290000,,,,5098.00,4.90,1.54,1.164,3.50,2014-05-14
0,,118.000000,,1271.31363,,,,1450,,3100.00,0.84,0.17,-1.164,4.50,2021-12-13
0,,84.000000,,4131.79000,,,,,,,,0.19,,,2020-09-03
0,,,11.209,,,,,1600,,3309.00,0.37,0.35,-1.838,4.86,2015-09-03
0,,52.000000,,7786.50000,,,,,,3530.00,,0.40,-1.720,,2014-05-14
0,,156.000000,16.141,4417.83700,,,,,,3064.00,0.28,0.11,-2.230,4.59,2015-05-14
0,,15.000000,,2383.60000,,,,,,,,0.02,,,2014-05-14
0,,55.000000,,1589.15000,,,,1250,,,,0.02,,,2016-02-25
0,,46.000000,,1271.00000,,,,1150,,2825.00,0.22,0.19,-2.561,5.03,2014-05-14
0,406.00000000,,,,,0.330000,,,,29564.00,0.20,0.48,,5.51,2022-04-19
0,416.00000000,0.920000,,603.87700,,,,,,,,0.48,,,2015-06-04
0,,230.000000,,3972.87500,,,,,,4045.00,,0.60,,,2016-11-10
0,345.40000000,1.010000,,,,0.180000,,,,,1.13,1.16,,,2015-12-03
0,335.10000000,0.995000,,,,0.289000,,,,6300.00,1.13,1.16,,4.50,2014-05-14
0,335.10001000,0.990000,,,,0.290000,,,,6331.00,1.41,1.93,,4.43,2018-09-06
0,269.30000000,0.870000,,,,0.432000,,,,4415.00,18.11,1.23,,1.80,2014-05-14
0,479.10000000,1.190000,,,,0.380000,,,,4200.00,22.03,0.98,,1.71,2014-05-14
0,1076.60000000,2.100000,,,,0.012000,,,,5882.00,,1.06,,,2016-01-28
0,1078.00000000,2.100000,,,,0.032000,,,,5872.00,1.21,1.06,0.198,4.30,2014-05-14
0,1100.80000000,2.110000,,,,0.097000,,,,,,,,,2014-08-21
0,1083.20000000,2.110000,,,,0.049000,,,,,,,,,2014-09-18
0,1076.60000000,2.059000,,,,0.016000,,,,5829.16,1.14,1.01,,4.33,2021-09-20
0,2391.00000000,3.600000,,,,0.098000,,,,5872.00,1.21,1.06,0.198,4.30,2014-05-14
0,7586.00000000,7.730000,,,,0.005000,,,,,,,,,2014-09-18
0,2287.00000000,3.404000,,,,0.179000,,,,5829.16,1.14,1.01,,4.33,2021-09-20
0,14002.00000000,11.600000,,,,0.160000,,,,5872.00,1.21,1.06,0.198,4.30,2014-05-14
0,19000.00000000,13.800000,,,,0.380000,,,,5829.16,1.14,1.01,,4.33,2021-09-20
0,,13.200000,,635.66000,,,,700,,,,1.75,0.850,,2015-08-14
0,11688.00000000,12.000000,,,,0.450000,,,,7295.00,1.49,1.65,0.752,4.31,2019-07-11
0,14965.00000000,14.000000,,,,0.210000,,,,7295.00,1.49,1.65,0.752,4.31,2015-12-03
0,4.23100000,0.052000,,146.20180,,0.000000,,,,,,1.04,,,2015-08-27
0,4.23079690,0.052350,,,,0.004200,,,,5760.76,1.19,1.07,,4.32,2022-05-09
0,4.23077000,0.052000,,,,0.000000,,,,,,,,,2014-08-21
0,4.22930000,,,,,0.000000,,,,5773.00,1.29,,,4.32,2016-11-03
0,4.23078500,0.052700,,,,0.013000,,,,5758.00,1.18,1.03,0.136,4.31,2014-05-14
0,14.65300000,0.115000,,,,0.020000,,,,,,0.95,,,2016-10-06
0,14.46531400,0.113390,,266.96600,,0.002300,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,14.65100000,0.113400,,,,0.004000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-14
0,14.65152000,0.115227,,263.97850,,0.003400,,,,,,0.95,,,2014-10-29
0,14.65171000,0.116200,,,,0.004800,,,,5317.89,0.96,0.97,,4.46,2022-05-09
0,14.65162000,0.115000,,,,0.014000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-16
0,14.65126000,0.113800,,,,0.015900,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,14.64700000,0.115000,,,,0.030000,,,,,,,,,2014-08-21
0,14.67000000,0.115000,,,,0.019700,,,,,,0.95,,,2016-10-13
0,14.65160000,0.113400,,,,0.000000,,,,5172.00,0.94,0.91,,4.43,2021-02-11
0,14.60000000,0.113000,,254.25000,,0.000000,,700,,,,,,,2015-02-12
0,14.64800000,0.110000,,,,0.051000,,,,5200.00,,0.85,,4.50,2016-11-10
0,43.93000000,0.240000,,,,0.440000,,,,,,0.95,,,2016-10-13
0,44.39890000,0.237300,,,,0.030000,,,,5172.00,0.94,0.91,,4.43,2021-02-11
0,44.38000000,0.237000,,,,0.070000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-14
0,44.37300000,0.237350,,56.69850,,0.072000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,44.41750000,0.241376,,54.47380,,0.020000,,,,,,0.95,,,2014-10-29
0,44.37870000,0.238000,,,,0.053000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,44.38270000,0.243200,,,,0.048000,,,,5317.89,0.96,0.97,,4.46,2021-09-20
0,44.34460000,0.240000,,,,0.086000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-16
0,4517.40000000,5.257000,,,,0.327000,,,,,,0.95,,,2016-10-13
0,5370.00000000,5.840000,,,,0.063000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,4909.00000000,5.470000,,,,0.020000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-14
0,5574.20000000,5.957000,,,,0.130000,,,,5172.00,0.94,0.91,,4.43,2021-02-11
0,4820.00000000,5.540000,,,,0.139000,,,,5317.89,0.96,0.97,,4.46,2021-09-20
0,5360.00000000,5.900000,,,,0.160000,,,,,,0.95,,,2016-10-06
0,4867.00000000,5.446000,,1226.77000,,0.026900,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
0,4545.00000000,5.280000,,,,0.240000,,,,,,,,,2014-08-21
0,4825.00000000,5.503000,,1232.49300,,0.019000,,,,,,0.95,,,2014-10-29
0,5218.00000000,5.770000,,,,0.025000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-05-16
0,0.73654000,0.015830,2.000,8.63000,5.90000,,,,0.0000,,0.94,0.96,,,2014-05-14
0,0.73654582,,1.915,,,,2657.83,1831,,5250.00,0.96,,,4.42,2022-08-08
0,0.73654450,0.015830,,,,0.036000,,,,5317.89,0.96,0.97,,4.46,2022-05-09
0,,,,,,,,,,5250.00,0.96,0.90,-0.197,4.42,2020-06-24
0,,0.015440,1.920,8.08000,6.30000,,,,0.3600,5250.00,0.96,0.90,-0.197,4.42,2016-01-21
0,0.73653900,0.015440,1.910,8.08000,6.40000,,,,0.4100,5250.00,0.96,0.90,-0.197,4.42,2019-01-31
0,0.73654740,0.015440,1.875,7.99000,6.66000,0.050000,,,0.3900,5172.00,0.94,0.91,,4.43,2021-02-11
0,2.80800000,0.038000,,,,0.174000,,,,,,0.95,,,2016-10-13
0,0.73700000,,1.897,7.74000,6.25000,,,,,5172.00,0.95,0.87,,4.43,2019-08-29
0,0.73655150,0.015691,,8.13928,,0.040000,,,,,,0.95,,,2014-10-29
0,0.73654780,0.015439,,8.09479,,0.028000,,,,5250.00,0.96,0.90,-0.197,4.42,2014-08-21
